cluster_id,ward,area_m2,d_toilet,n_toilet,d_health,n_health,d_school,n_school,d_school_municipal,n_school_municipal,d_park,n_park,d_fire,n_fire,d_police,n_police,d_bus,n_bus,d_rail,n_rail,d_funeral,n_funeral,toilet_seats,toilet_seats_f
302,L,2262.948154396051,0.0,1,558.8731125414473,0,3.1926529008595286,0,441.118514199884,0,372.3773700017818,0,1230.0897871923753,0,1703.3823957232453,0,155.07217802826477,0,2159.0417910092674,0,831.9151583487559,0,20.0,10.0
303,L,5384.8027037056345,316.76099599473406,0,327.90702471128526,0,147.73696081496192,0,178.94008704954038,0,305.494010698685,0,1858.0859839406712,0,1884.088249548952,0,58.16704682493904,0,1529.653288693904,0,811.9620638807107,0,0.0,0.0
304,L,683.5067859125195,68.03576604729922,0,241.89023106822495,0,424.3176261444245,0,424.3176261444245,0,521.9471113947662,0,926.9466501369541,0,1033.7806353153578,0,268.598187555912,0,547.8839850098087,0,715.1544096340214,0,0.0,0.0
305,L,638.0125822834414,29.657433348179215,0,188.491260355679,0,87.22627192637,0,180.90908157965745,0,289.59183695147556,0,917.5134421158593,0,2111.007620905564,0,553.1579965970959,0,1464.1000075132517,0,960.2605037661465,0,0.0,0.0
306,L,2548.139305908775,230.02173987977795,0,346.9640074367408,0,43.52228447361625,0,325.55173029492397,0,202.38646216890928,0,460.3388498277181,0,694.8833619231208,0,142.800920035233,0,1463.0119719593374,0,422.8600538537014,0,0.0,0.0
307,L,1709.510608518317,134.2191901406156,0,738.1128991644895,0,65.24219586132001,0,573.3612859382645,0,133.7064369189656,0,1785.7625767355605,0,1634.0110872122796,0,68.05115989477838,0,2614.0055135739435,0,741.676111539036,0,0.0,0.0
308,L,607.0116939295231,676.9738554275291,0,359.08856144550373,0,282.0888828468487,0,343.15588374078413,0,131.1240669851978,0,1946.5824999744716,0,1683.65578418498,0,74.22519388095506,0,2112.1219291832567,0,635.1239698312902,0,0.0,0.0
309,L,2256.6880881060597,678.3903416913856,0,390.1512363696079,0,243.40870879668466,0,319.3450595750793,0,165.0326602492094,0,1958.711524167471,0,1691.5622314835819,0,93.20787130177766,0,2146.5985646266017,0,654.868224315227,0,0.0,0.0
310,L,8835.057572175088,0.0,1,653.8314900189084,0,162.1159882055508,0,162.1159882055508,0,111.63179908511925,0,1495.533001036108,0,2247.540191402867,0,10.404818979501028,0,1642.8695992694938,0,1182.4823636840981,0,10.0,5.0
311,L,2220.159833918955,0.5501308905763517,0,465.2073467816913,0,67.89235276120182,0,67.89235276120182,0,229.57037072875167,0,925.7379011274222,0,347.3930372004479,0,32.784250514314536,0,903.5296247688981,0,829.1304216588746,0,0.0,0.0
