ward,area_km2,n_toilet,n_health,n_school,n_school_municipal,n_park,n_fire,n_police,n_bus,n_rail,n_funeral,toilet_seats,toilet_seats_f,slum_area_km2,slum_clusters,slum_area_share,population,households,census_wards,hh14_households,pct_latrine_in_premises,pct_no_latrine_in_premises,pct_public_latrine,pct_open_defecation,hh14_coverage,hh_public_latrine
H/W,8.650373433546571,163,14,71,36,48,1,5,178,3,15,1648,815,0.42073254637376034,66,0.048637500982574806,307581.0,72943.0,9.0,72943.0,71.66004551499115,28.33995448500885,27.283566620511905,1.053962683190985,1.0,19901.452
K/E,23.982720027645602,804,36,138,71,82,2,11,376,2,12,6357,3676,2.688526229947703,299,0.11210264001950397,823885.0,190845.0,3.0,190845.0,56.16486834865991,43.8351316513401,43.25496764389949,0.5801640074405932,1.0,82549.94299999998
K/W,24.353987833180096,225,13,116,55,59,1,6,386,1,24,2399,1304,1.453126917000938,163,0.05966689837223227,748688.0,168076.0,6.0,168076.0,70.09919024726909,29.900809752730908,27.824341964349458,2.0777338822913443,1.0,46766.041
L,15.625411886871099,798,34,179,88,63,1,5,255,3,8,6711,3499,3.570027077836676,230,0.2284757101882422,902225.0,186833.0,4.0,186833.0,43.877727703350054,56.122272296649946,54.56011143641648,1.5600948440585978,1.0,101936.29299999999
M/E,38.225713355538076,446,25,136,72,73,2,8,188,2,11,7549,3445,3.0148849762183616,152,0.07887060074397723,807720.0,166400.0,2.0,166400.0,35.81168209134616,64.18831790865384,58.97634014423077,5.211977764423077,1.0,98136.63
M/W,17.620182332876464,203,22,87,53,49,1,1,218,1,8,2847,1211,1.2162457419317607,98,0.06902571829023807,411893.0,93607.0,2.0,93607.0,44.282411571784166,55.717588428215834,53.80008225880543,2.0037571976454753,1.0,50360.643
N,30.602269690246047,497,16,121,67,38,1,4,200,2,10,5286,2578,2.022664034747581,111,0.06609522938072371,622853.0,137885.0,4.0,137885.0,44.34604996917721,55.65395003082279,54.456957609602206,1.1969924212205825,1.0,75087.97600000001
P/N,46.70051361095905,1264,30,167,62,34,2,5,336,1,21,9796,3823,3.870357090791253,225,0.08287611401950426,941366.0,211642.0,6.0,211642.0,49.47774969051511,50.52225030948489,45.6973535498625,4.816038404475482,1.0,96714.79299999999
P/S,25.39562870673454,355,13,80,41,46,2,3,280,2,6,3103,1484,1.2855995220473972,102,0.050622866513498656,463507.0,106922.0,4.0,106922.0,60.12669141991358,39.873308580086416,37.21216868371336,2.5894624118516303,1.0,39787.994999999995
R/C,47.9500127301661,256,18,95,40,79,1,4,329,1,7,2190,1169,0.9053075485138423,87,0.018880235832435956,562162.0,134795.0,5.0,134795.0,80.85309915056196,19.146900849438037,17.571442560925853,1.5754582885121853,1.0,23685.426
R/N,14.17670280051037,395,16,61,19,52,1,2,203,1,2,3131,1670,1.5702172239299268,144,0.11076039654815914,431368.0,104091.0,3.0,104091.0,58.396210046978126,41.603789953021874,40.084734511148895,1.548772708495451,1.0,41724.600999999995
R/S,18.556325477270583,393,16,106,43,71,2,3,219,1,4,4274,1895,2.0490517542273503,116,0.11042335707773658,691229.0,159639.0,2.0,159639.0,57.37346513070114,42.62653486929886,39.48582865089357,3.140706218405277,1.0,63034.78199999999
S,32.554495298350204,1043,30,144,55,78,0,4,284,4,11,7297,4172,3.432590434415739,211,0.1054413654076737,743783.0,169962.0,2.0,169962.0,48.164244360504114,51.835755639495886,48.893872159659225,2.9127069580259115,1.0,83101.00300000001
T,45.13066440510386,212,13,80,46,60,2,1,209,1,7,2115,1094,0.5829747953577042,59,0.012917487545159544,341463.0,81698.0,3.0,81698.0,73.89758500820093,26.102414991799066,25.269206100516534,0.7650615682146442,1.0,20644.435999999998
