ward,n,area_ha,area_median_ha,area_max_ha,n_in_use,n_municipal,borough,electors,area_km2,has_polygon,n_disused,n_per_km2,area_pct_of_ward,n_per_10k_electors,disused_share,municipal_share
76,1,0.7,0.7,0.7,1,1,IX,19644,0.43621047685707715,True,0,2.29247130239755,1.604729911678285,0.509061290979434,0.0,1.0
77,0,0.0,,,0,0,IX,37804,0.49489227475364606,True,0,0.0,0.0,0.0,,
78,1,0.04,0.04,0.04,1,1,IX,48923,0.6819934677871051,True,0,1.4662897039831555,0.058651588159326216,0.2044028371113791,0.0,1.0
79,1,0.47,0.47,0.47,1,1,IX,31893,2.9310052758827236,True,0,0.341179870342892,0.1603545390611592,0.3135484275546358,0.0,1.0
80,6,62.620000000000005,5.449999999999999,38.93,6,0,IX,24696,9.072355903779462,True,0,0.6613497159542048,6.902286535508718,2.4295432458697763,0.0,0.0
81,1,0.06,0.06,0.06,1,1,X,35919,1.2735444922299057,True,0,0.7852101014932391,0.04711260608959435,0.2784041871989755,0.0,1.0
82,1,0.12,0.12,0.12,1,1,IX,33676,0.9260856388251351,True,0,1.0798137430018193,0.1295776491602183,0.2969473809241002,0.0,1.0
83,0,0.0,,,0,0,VIII,19802,0.4810878276137962,True,0,0.0,0.0,0.0,,
84,0,0.0,,,0,0,VIII,15818,0.46497110476591524,True,0,0.0,0.0,0.0,,
85,1,0.13,0.13,0.13,1,0,VIII,24259,0.7143450415777992,True,0,1.399883728164844,0.1819848846614297,0.41221814584278,0.0,0.0
86,0,0.0,,,0,0,VIII,17211,0.8879359165480397,True,0,0.0,0.0,0.0,,
87,0,0.0,,,0,0,VIII,10831,0.7473369484590299,True,0,0.0,0.0,0.0,,
88,0,0.0,,,0,0,VIII,21841,0.48933443477805944,True,0,0.0,0.0,0.0,,
89,6,0.8,0.13,0.24,6,2,X,20009,0.698561777203137,True,0,8.58907572072218,1.1452100960962908,2.998650607226748,0.0,0.3333333333333333
90,2,4.55,2.275,2.44,2,1,VIII,16873,1.14564605069012,True,0,1.745739880825522,3.971558228878062,1.1853256682273454,0.0,0.5
91,30,4.2,0.09,0.48,30,0,X,34180,1.0791616111029578,True,0,27.79935803066464,3.8919101242930494,8.777062609713283,0.0,0.0
92,13,2.19,0.1,0.71,13,0,X,31625,1.5748864713719823,True,0,8.254563256661216,1.3905764255452355,4.1106719367588935,0.0,0.0
93,6,5.62,0.655,2.81,4,1,X,43119,1.8679506491756133,True,2,3.2120762947607813,3.0086447960925984,1.3914979475405274,0.3333333333333333,0.16666666666666666
94,6,4.0,0.285,2.61,5,2,X,20788,1.6713205870409342,True,1,3.5899755238598323,2.393317015906555,2.886280546469117,0.16666666666666666,0.3333333333333333
